key,display
athadán,athadán
breallach lathaí,breallach lathaí
ceanna-phiullan,ceanna-phiullan
cnádán,cnádán
cràigean,cràigean
gille-cràigean,gille-cràigean
crónán,crónán
crúbán claidhe,crúbán claidhe
fliuchán,fliuchán
frog,frog
frús,frús
lapadán,lapadán
lapadóir,lapadóir
laprachán,laprachán
leumadair,leumadair
leumachan,leumachan
lisbín,lisbín
losgann,losgann
losgaid,losgaid
luascan lathaí,luascan lathaí
lúbar lathaí,lúbar lathaí
lúbóg lathaí,lúbóg lathaí
màgan,màgan
giolla-mhàgag,giolla-mhàgag
mial-mhàgain,mial-mhàgain
prebaire na lathaí,prebaire na lathaí
sonasan,sonasan
tortán,tortán
